class_ind,class_name,n_images
,a-bomb,2426
,a-horizon,1866
,a-line,2184
,a._a._michelson,1045
,a._a._milne,1599
,a._conan_doyle,1361
,a._e._burnside,426
,a._e._housman,278
,a._e._kennelly,78
,a._e._w._mason,429
,a._noam_chomsky,1193
,a._testudineus,198
,a.e.,2458
,a.j._cook,1302
,a_battery,1907
,a_capella_singing,1018
,a_cappella_singing,1448
,a_horizon,2133
,a_kempis,1683
,aa,2265
,aachen,2114
,aaland_islands,625
,aalborg,2341
,aalii,116
,aaliyah,1817
,aalost,13
,aalto,1772
,aamir_khan,1630
,aar,2657
,aardvark,2237
,aardwolf,1151
,aare,2540
,aare_river,905
,aarhus,2265
,aaron,2219
,aaron_burr,919
,aaron_copland,1131
,aaron_montgomery_ward,71
,aarons_rod,449
,aas,2203
,ab,2287
,aba,2226
,aba_cloth,179
,abaca,1553
,abacus,1879
,abadan,1601
,abalone,2187
,abandoned_infant,284
,abandoned_person,646
,abandoned_ship,1034
,abatis,738
,abator,255
,abattis,287
,abattoir,1553
,abaya,1406
,abazi_avni,96
,abbacy,200
,abbe,1869
,abbe_condenser,201
,abbe_lane,716
,abbess,1490
,abbey,2144
,abbot,2077
,abbott_lawrence_lowell,22
,abbreviator,50
,abc,2260
,abcs,2154
,abdias,716
,abdicator,41
,abdomen,1613
,abdominal,1996
,abdominal_aorta,1315
,abdominal_breathing,338
,abdominal_cavity,1168
,abdominal_external_oblique_muscle,101
,abdominal_muscle,1120
,abdominal_nerve_plexus,8
,abdominal_wall,1005
,abducens,271
,abducens_muscle,16
,abducens_nerve,128
,abducent,90
,abducent_nerve,47
,abductor,1370
,abductor_muscle,171
,abecedarian,558
,abel,2316
,abel_janszoon_tasman,86
,abel_tasman,1902
,abelard,1285
,abele,1376
,abelia,1238
,abelmoschus_esculentus,263
,abelmoschus_moschatus,150
,abelmosk,9
,aberdare,1437
,aberdeen,2038
,aberdeen_angus,1261
,aberrant,1688
,aberration,1493
,abetter,952
,abettor,55
,abhishek_bachchan,1721
,abhorrer,16
,abidjan,1896
,abies_alba,1013
,abies_amabilis,206
,abies_balsamea,823
,abies_bracteata,132
,abies_concolor,955
,abies_fraseri,445
,abies_grandis,563
,abies_lasiocarpa,669
,abies_lowiana,38
,abies_venusta,4
,abila,833
,abilene,2131
,abiogenesis,540
,abiogenist,1
,abjurer,69
,abkhas,4
,abkhaz,562
,abkhazia,1921
,ablactation,6
,ablation,1224
,able-bodied_seaman,163
,able_seaman,1297
,abm,1716
,abnaki,542
,abnegator,5
,abney_level,187
,abnormal_psychology,1139
,abo,2155
,abo_antibodies,28
,abode,1890
,abolitionism,823
,abolitionist,1643
,abomasum,230
,abomination,1807
,abominator,625
,aboriginal,2014
,aborigine,2131
,aborticide,28
,abortifacient,199
,abortion-inducing_drug,6
,abortion_pill,1072
,abortionist,1017
,abortus,981
,abradant,73
,abrader,578
,abrading_stone,41
,abraham,2429
,abraham_lincoln,2347
,abraham_stoker,357
,abramis_brama,601
,abrasion,1710
,abrasive,1508
,abrasive_material,958
,abridger,516
,abrocome,18
,abrogator,10
,abronia_elliptica,19
,abronia_fragrans,95
,abronia_latifolia,111
,abronia_maritima,48
,abronia_umbellata,128
,abronia_villosa,215
,abruptly-pinnate_leaf,3
,abruzzi,1753
,abruzzi_e_molise,68
,abs,3036
,abscission,440
,absconder,414
,abseiler,418
,absentee,1459
,absinth,1819
,absinthe,1819
,absinthe_oil,145
,absolute,2044
,absolute_alcohol,268
,absolutism,1383
,absolutist,1061
,absolver,174
,absorbate,9
,absorbent,1269
,absorbent_cotton,1430
,absorbent_material,877
,absorber,1524
,absorption,1442
,absorption_band,1041
,absorption_indicator,102
,abstainer,105
,abstinent,924
,abstract,2191
,abstract_art,2362
,abstract_artist,1749
,abstracter,138
,abstraction,2414
,abstractionism,479
,abstractionist,358
,abstractor,495
,abstruseness,251
,abstrusity,30
,abu_ali_al-husain_ibn_abdallah_ibn_sina,21
,abu_dhabi,2099
,abudefduf_saxatilis,212
,abuja,2272
,abukir,220
,abukir_bay,13
,abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,0
,abuser,2028
,abutilon_theophrasti,369
,abutment,1741
